id,estacion_salida,estacion_llegada,tipo_pmr,hora
1,PUE,JAR,PMR_VISUAL,15:00
2,UNI,VMA,PMR_AUDITIVO,10:00
3,CUL,JAR,PMR_AUDITIVO,17:00
4,UNI,PUE,PMR_AUDITIVO,09:00
5,PUE,UNI,PMR_ADULTO_MAYOR,20:00
6,MAT,NAR,PMR_AUDITIVO,06:00
7,PUE,MAT,PMR_AUDITIVO,17:00
8,NAR,GAM,PMR_SILLA,19:00
9,ANG,CUL,PMR_SILLA,19:00
10,NAR,MAT,PMR_SILLA,12:00
11,PUE,MAT,PMR_VISUAL,10:00
12,PUE,VMA,PMR_VISUAL,08:00
13,VMA,CUL,PMR_AUDITIVO,15:00
14,MAT,NAR,PMR_AUDITIVO,20:00
15,VMA,SMA,PMR_SILLA,11:00
16,CUL,GAM,PMR_VISUAL,19:00
17,SMA,UNI,PMR_SILLA,16:00
18,MAT,UNI,PMR_AUDITIVO,08:00
19,JAR,PUE,PMR_ADULTO_MAYOR,19:00
20,CUL,JAR,PMR_VISUAL,17:00
21,VMA,CUL,PMR_VISUAL,11:00
22,MAT,CUL,PMR_AUDITIVO,18:00
23,CUL,PUE,PMR_AUDITIVO,06:00
24,GAM,MAT,PMR_VISUAL,07:00
25,JAR,GAM,PMR_AUDITIVO,16:00
26,MAT,CUL,PMR_VISUAL,17:00
27,CUL,JAR,PMR_SILLA,12:00
28,UNI,CUL,PMR_SILLA,08:00
29,PUE,ANG,PMR_SILLA,15:00
30,JAR,CUL,PMR_ADULTO_MAYOR,18:00
31,ANG,JAR,PMR_AUDITIVO,13:00
32,ANG,UNI,PMR_AUDITIVO,09:00
33,SMA,UNI,PMR_AUDITIVO,18:00
34,JAR,VMA,PMR_VISUAL,14:00
35,UNI,GAM,PMR_ADULTO_MAYOR,09:00
36,UNI,ANG,PMR_ADULTO_MAYOR,12:00
37,PUE,UNI,PMR_AUDITIVO,18:00
38,SMA,PUE,PMR_SILLA,17:00
39,NAR,PUE,PMR_AUDITIVO,12:00
40,NAR,JAR,PMR_AUDITIVO,08:00
41,ANG,PUE,PMR_ADULTO_MAYOR,17:00
42,ANG,JAR,PMR_SILLA,13:00
43,GAM,NAR,PMR_ADULTO_MAYOR,14:00
44,JAR,MAT,PMR_AUDITIVO,17:00
45,MAT,GAM,PMR_VISUAL,11:00
46,PUE,NAR,PMR_SILLA,13:00
47,SMA,CUL,PMR_AUDITIVO,06:00
48,SMA,ANG,PMR_ADULTO_MAYOR,06:00
49,VMA,PUE,PMR_VISUAL,06:00
50,SMA,PUE,PMR_ADULTO_MAYOR,20:00
51,JAR,VMA,PMR_SILLA,15:00
52,UNI,SMA,PMR_ADULTO_MAYOR,08:00
53,ANG,SMA,PMR_AUDITIVO,19:00
54,SMA,PUE,PMR_VISUAL,16:00
55,NAR,UNI,PMR_SILLA,11:00
56,SMA,NAR,PMR_ADULTO_MAYOR,16:00
57,GAM,MAT,PMR_VISUAL,19:00
58,SMA,GAM,PMR_AUDITIVO,18:00
59,SMA,CUL,PMR_AUDITIVO,09:00
60,GAM,SMA,PMR_SILLA,13:00
61,SMA,GAM,PMR_SILLA,15:00
62,JAR,UNI,PMR_ADULTO_MAYOR,20:00
63,VMA,UNI,PMR_SILLA,17:00
64,UNI,PUE,PMR_ADULTO_MAYOR,18:00
65,PUE,VMA,PMR_ADULTO_MAYOR,18:00
66,JAR,UNI,PMR_SILLA,17:00
67,PUE,JAR,PMR_SILLA,18:00
68,GAM,ANG,PMR_VISUAL,20:00
69,UNI,NAR,PMR_ADULTO_MAYOR,13:00
70,VMA,UNI,PMR_SILLA,13:00
71,ANG,SMA,PMR_SILLA,06:00
72,VMA,CUL,PMR_VISUAL,11:00
73,SMA,VMA,PMR_AUDITIVO,07:00
74,UNI,CUL,PMR_SILLA,15:00
75,CUL,ANG,PMR_AUDITIVO,12:00
76,VMA,SMA,PMR_AUDITIVO,09:00
77,NAR,MAT,PMR_AUDITIVO,06:00
78,GAM,MAT,PMR_ADULTO_MAYOR,09:00
79,SMA,VMA,PMR_SILLA,11:00
80,CUL,MAT,PMR_VISUAL,15:00
81,NAR,PUE,PMR_AUDITIVO,19:00
82,NAR,MAT,PMR_AUDITIVO,16:00
83,UNI,VMA,PMR_AUDITIVO,15:00
84,SMA,NAR,PMR_VISUAL,11:00
85,GAM,SMA,PMR_AUDITIVO,07:00
86,ANG,NAR,PMR_SILLA,13:00
87,SMA,NAR,PMR_VISUAL,15:00
88,VMA,PUE,PMR_SILLA,17:00
89,CUL,GAM,PMR_SILLA,12:00
90,JAR,SMA,PMR_SILLA,10:00
91,CUL,UNI,PMR_AUDITIVO,17:00
92,PUE,MAT,PMR_AUDITIVO,12:00
93,MAT,UNI,PMR_SILLA,18:00
94,PUE,NAR,PMR_AUDITIVO,08:00
95,NAR,UNI,PMR_VISUAL,06:00
96,PUE,JAR,PMR_SILLA,13:00
97,UNI,PUE,PMR_AUDITIVO,14:00
98,SMA,ANG,PMR_SILLA,07:00
99,PUE,GAM,PMR_SILLA,08:00
100,MAT,NAR,PMR_SILLA,06:00
101,UNI,SMA,PMR_SILLA,08:00
102,JAR,MAT,PMR_AUDITIVO,19:00
103,NAR,MAT,PMR_SILLA,11:00
104,GAM,NAR,PMR_SILLA,12:00
105,NAR,PUE,PMR_AUDITIVO,18:00
106,PUE,JAR,PMR_AUDITIVO,13:00
107,PUE,CUL,PMR_SILLA,06:00
108,SMA,UNI,PMR_AUDITIVO,16:00
109,MAT,PUE,PMR_SILLA,16:00
110,CUL,PUE,PMR_VISUAL,07:00
111,SMA,MAT,PMR_SILLA,11:00
112,ANG,PUE,PMR_ADULTO_MAYOR,06:00
113,MAT,ANG,PMR_AUDITIVO,14:00
114,NAR,GAM,PMR_ADULTO_MAYOR,14:00
115,CUL,VMA,PMR_ADULTO_MAYOR,18:00
116,CUL,ANG,PMR_SILLA,16:00
117,SMA,UNI,PMR_AUDITIVO,19:00
118,MAT,JAR,PMR_AUDITIVO,06:00
119,VMA,GAM,PMR_SILLA,07:00
120,GAM,VMA,PMR_ADULTO_MAYOR,15:00
121,CUL,GAM,PMR_ADULTO_MAYOR,11:00
122,NAR,CUL,PMR_SILLA,09:00
123,SMA,PUE,PMR_VISUAL,12:00
124,GAM,SMA,PMR_SILLA,09:00
125,MAT,SMA,PMR_AUDITIVO,18:00
126,NAR,GAM,PMR_SILLA,19:00
127,GAM,PUE,PMR_ADULTO_MAYOR,14:00
128,PUE,ANG,PMR_ADULTO_MAYOR,11:00
129,VMA,JAR,PMR_SILLA,12:00
130,UNI,GAM,PMR_AUDITIVO,19:00
131,UNI,JAR,PMR_ADULTO_MAYOR,20:00
132,GAM,PUE,PMR_AUDITIVO,18:00
133,NAR,SMA,PMR_AUDITIVO,15:00
134,CUL,GAM,PMR_ADULTO_MAYOR,18:00
135,UNI,SMA,PMR_VISUAL,16:00
136,MAT,JAR,PMR_AUDITIVO,06:00
137,JAR,UNI,PMR_VISUAL,06:00
138,CUL,SMA,PMR_SILLA,08:00
139,SMA,MAT,PMR_VISUAL,06:00
140,CUL,GAM,PMR_AUDITIVO,06:00
141,NAR,UNI,PMR_SILLA,06:00
142,PUE,NAR,PMR_VISUAL,12:00
143,SMA,GAM,PMR_AUDITIVO,10:00
144,GAM,PUE,PMR_SILLA,18:00
145,ANG,MAT,PMR_VISUAL,18:00
146,NAR,CUL,PMR_ADULTO_MAYOR,06:00
147,JAR,SMA,PMR_AUDITIVO,07:00
148,JAR,SMA,PMR_AUDITIVO,08:00
149,PUE,GAM,PMR_AUDITIVO,18:00
150,MAT,GAM,PMR_VISUAL,07:00
151,MAT,JAR,PMR_SILLA,12:00
152,JAR,MAT,PMR_VISUAL,06:00
153,GAM,SMA,PMR_SILLA,06:00
154,VMA,MAT,PMR_ADULTO_MAYOR,07:00
155,MAT,PUE,PMR_SILLA,19:00
156,JAR,UNI,PMR_AUDITIVO,11:00
157,UNI,GAM,PMR_AUDITIVO,18:00
158,CUL,JAR,PMR_SILLA,14:00
159,UNI,VMA,PMR_ADULTO_MAYOR,11:00
160,UNI,SMA,PMR_ADULTO_MAYOR,13:00
161,UNI,PUE,PMR_AUDITIVO,17:00
162,GAM,JAR,PMR_ADULTO_MAYOR,18:00
163,NAR,SMA,PMR_AUDITIVO,06:00
164,CUL,SMA,PMR_SILLA,08:00
165,PUE,CUL,PMR_SILLA,20:00
166,ANG,GAM,PMR_SILLA,16:00
167,JAR,UNI,PMR_VISUAL,06:00
168,UNI,ANG,PMR_SILLA,17:00
169,UNI,JAR,PMR_VISUAL,14:00
170,JAR,GAM,PMR_SILLA,09:00
171,ANG,CUL,PMR_AUDITIVO,15:00
172,ANG,PUE,PMR_ADULTO_MAYOR,16:00
173,VMA,GAM,PMR_SILLA,18:00
174,ANG,GAM,PMR_SILLA,09:00
175,NAR,JAR,PMR_VISUAL,11:00
176,JAR,ANG,PMR_VISUAL,19:00
177,NAR,ANG,PMR_SILLA,18:00
178,GAM,PUE,PMR_SILLA,07:00
179,CUL,MAT,PMR_ADULTO_MAYOR,10:00
180,NAR,GAM,PMR_VISUAL,08:00
181,CUL,ANG,PMR_ADULTO_MAYOR,08:00
182,PUE,ANG,PMR_VISUAL,12:00
183,NAR,VMA,PMR_SILLA,10:00
184,CUL,PUE,PMR_AUDITIVO,12:00
185,ANG,GAM,PMR_AUDITIVO,12:00
186,CUL,PUE,PMR_AUDITIVO,16:00
187,CUL,UNI,PMR_SILLA,10:00
188,VMA,GAM,PMR_VISUAL,18:00
189,PUE,CUL,PMR_SILLA,06:00
190,ANG,VMA,PMR_VISUAL,19:00
191,SMA,ANG,PMR_AUDITIVO,07:00
192,VMA,NAR,PMR_SILLA,14:00
193,PUE,ANG,PMR_VISUAL,18:00
194,UNI,ANG,PMR_AUDITIVO,15:00
195,VMA,NAR,PMR_SILLA,13:00
196,ANG,UNI,PMR_SILLA,09:00
197,UNI,VMA,PMR_AUDITIVO,14:00
198,SMA,ANG,PMR_ADULTO_MAYOR,12:00
199,CUL,UNI,PMR_SILLA,06:00
200,VMA,JAR,PMR_ADULTO_MAYOR,15:00
201,MAT,VMA,PMR_ADULTO_MAYOR,09:00
202,GAM,JAR,PMR_AUDITIVO,15:00
203,PUE,SMA,PMR_VISUAL,15:00
204,UNI,GAM,PMR_SILLA,08:00
205,UNI,CUL,PMR_AUDITIVO,14:00
206,NAR,JAR,PMR_SILLA,15:00
207,UNI,MAT,PMR_ADULTO_MAYOR,08:00
208,JAR,VMA,PMR_SILLA,08:00
209,CUL,PUE,PMR_SILLA,06:00
210,UNI,VMA,PMR_SILLA,19:00
211,ANG,PUE,PMR_VISUAL,12:00
212,VMA,PUE,PMR_AUDITIVO,06:00
213,VMA,MAT,PMR_AUDITIVO,20:00
214,GAM,SMA,PMR_VISUAL,18:00
215,NAR,MAT,PMR_VISUAL,12:00
216,PUE,SMA,PMR_SILLA,07:00
217,ANG,VMA,PMR_ADULTO_MAYOR,08:00
218,VMA,CUL,PMR_ADULTO_MAYOR,20:00
219,UNI,GAM,PMR_ADULTO_MAYOR,12:00
220,SMA,ANG,PMR_SILLA,14:00
221,JAR,GAM,PMR_ADULTO_MAYOR,15:00
222,VMA,GAM,PMR_AUDITIVO,07:00
223,SMA,UNI,PMR_VISUAL,14:00
224,GAM,ANG,PMR_ADULTO_MAYOR,09:00
225,ANG,PUE,PMR_AUDITIVO,17:00
226,MAT,NAR,PMR_VISUAL,06:00
227,NAR,JAR,PMR_VISUAL,14:00
228,PUE,JAR,PMR_ADULTO_MAYOR,11:00
229,MAT,SMA,PMR_ADULTO_MAYOR,19:00
230,NAR,ANG,PMR_AUDITIVO,14:00
231,GAM,JAR,PMR_ADULTO_MAYOR,12:00
232,UNI,ANG,PMR_SILLA,20:00
233,NAR,VMA,PMR_SILLA,17:00
234,PUE,SMA,PMR_VISUAL,14:00
235,SMA,MAT,PMR_AUDITIVO,07:00
236,SMA,JAR,PMR_SILLA,09:00
237,JAR,ANG,PMR_VISUAL,13:00
238,PUE,UNI,PMR_ADULTO_MAYOR,20:00
239,NAR,SMA,PMR_AUDITIVO,08:00
240,MAT,NAR,PMR_VISUAL,20:00
241,PUE,NAR,PMR_ADULTO_MAYOR,11:00
242,VMA,MAT,PMR_VISUAL,11:00
243,VMA,GAM,PMR_AUDITIVO,07:00
244,UNI,SMA,PMR_AUDITIVO,15:00
245,ANG,UNI,PMR_ADULTO_MAYOR,15:00
246,MAT,PUE,PMR_VISUAL,15:00
247,JAR,ANG,PMR_ADULTO_MAYOR,15:00
248,MAT,UNI,PMR_VISUAL,09:00
249,MAT,PUE,PMR_SILLA,18:00
250,SMA,VMA,PMR_SILLA,18:00
251,VMA,UNI,PMR_SILLA,12:00
252,NAR,VMA,PMR_SILLA,17:00
253,ANG,VMA,PMR_ADULTO_MAYOR,10:00
254,NAR,MAT,PMR_AUDITIVO,10:00
255,GAM,VMA,PMR_ADULTO_MAYOR,19:00
256,SMA,UNI,PMR_SILLA,06:00
257,UNI,NAR,PMR_VISUAL,15:00
258,JAR,UNI,PMR_VISUAL,08:00
259,CUL,VMA,PMR_SILLA,10:00
260,ANG,CUL,PMR_SILLA,16:00
261,JAR,UNI,PMR_VISUAL,07:00
262,CUL,VMA,PMR_SILLA,13:00
263,CUL,JAR,PMR_AUDITIVO,10:00
264,PUE,GAM,PMR_ADULTO_MAYOR,13:00
265,ANG,PUE,PMR_VISUAL,12:00
266,ANG,NAR,PMR_AUDITIVO,13:00
267,NAR,MAT,PMR_ADULTO_MAYOR,13:00
268,MAT,CUL,PMR_SILLA,20:00
269,ANG,MAT,PMR_ADULTO_MAYOR,18:00
270,PUE,SMA,PMR_SILLA,18:00
271,NAR,SMA,PMR_SILLA,20:00
272,PUE,ANG,PMR_ADULTO_MAYOR,18:00
273,PUE,VMA,PMR_VISUAL,14:00
274,VMA,NAR,PMR_ADULTO_MAYOR,11:00
275,CUL,JAR,PMR_AUDITIVO,20:00
276,GAM,ANG,PMR_AUDITIVO,10:00
277,GAM,UNI,PMR_ADULTO_MAYOR,09:00
278,ANG,VMA,PMR_VISUAL,20:00
